Company,TypeName,Inches,Ram,OpSys,Weight,Res_Width,Res_Height,Touchscreen,PanelType,SSD(GB),HDD(GB),ClockSpeed(GHz),CPU,GPU,Price
Lenovo,Gaming,15.6,16,Windows 10,3.2,1920,1080,False,IPS Panel,512,1000,2.8,Intel Core i7,Nvidia GTX,1749.0
Dell,Workstation,15.6,16,Windows 10,2.8,3840,2160,False,Unknown,256,1000,3.0,Intel Other,Nvidia Quadro,3055.0
Lenovo,Gaming,15.6,16,No OS,2.4,1920,1080,False,Unknown,512,0,2.8,Intel Core i7,Nvidia GTX,1398.0
Dell,Notebook,15.6,6,Windows 10,2.3,1366,768,True,Unknown,0,1000,2.4,Intel Core i3,Intel HD Graphics,439.0
Dell,Ultrabook,13.3,8,Windows 10,1.21,3840,2160,True,IPS Panel,256,0,1.8,Intel Core i7,Intel HD Graphics,1949.0
Dell,Ultrabook,13.3,8,Windows 10,1.2,1920,1080,False,Unknown,256,0,1.8,Intel Core i7,Intel HD Graphics,1449.0
Lenovo,Notebook,15.6,8,Windows 10,2.2,1366,768,False,Unknown,256,0,2.5,Intel Core i5,Intel HD Graphics,597.0
Acer,Notebook,15.6,8,Linux,2.4,1920,1080,False,Unknown,0,1000,2.8,Intel Core i7,Nvidia GTX,779.0
Asus,Gaming,17.3,16,Windows 10,2.9,1920,1080,False,Unknown,256,1000,2.8,Intel Core i7,Nvidia GTX,1407.0
HP,Notebook,15.6,4,No OS,2.1,1920,1080,False,Unknown,0,500,2.0,Intel Core i3,Intel HD Graphics,349.0
Lenovo,Notebook,15.6,8,No OS,2.2,1920,1080,False,Unknown,256,0,2.5,Intel Core i5,Intel HD Graphics,549.0
Huawei,Ultrabook,13.0,8,Windows 10,1.05,2160,1440,False,IPS Panel,512,0,2.7,Intel Core i7,Intel HD Graphics,1499.0
Dell,Ultrabook,13.3,8,Windows 10,1.4,1920,1080,False,IPS Panel,256,0,1.8,Intel Core i7,AMD,931.88
Lenovo,Notebook,17.3,8,No OS,2.8,1600,900,False,Unknown,0,1000,2.5,Intel Core i5,Nvidia GTX,589.0
HP,Notebook,14.0,8,Windows 10,1.63,1920,1080,False,Unknown,256,0,1.8,Intel Core i7,Nvidia GeForce,1031.0
Dell,Ultrabook,14.0,8,Windows 10,1.6,1920,1080,False,Unknown,256,0,1.6,Intel Core i5,Intel HD Graphics,1149.0
Dell,2 in 1 Convertible,13.3,16,Windows 10,1.62,1920,1080,True,Unknown,512,0,1.8,Intel Core i7,Intel HD Graphics,1279.0
Dell,Notebook,15.6,8,Linux,2.2,1920,1080,False,Unknown,256,0,1.6,Intel Core i5,AMD,677.35
Lenovo,2 in 1 Convertible,14.0,8,Windows 10,1.74,1920,1080,False,IPS Panel,256,0,1.6,Intel Core i5,Intel HD Graphics,899.0
Toshiba,Ultrabook,13.3,8,Windows 10,1.2,1920,1080,False,Unknown,256,0,2.5,Intel Core i7,Intel HD Graphics,1363.0
HP,Notebook,15.6,8,Windows 10,2.1,1920,1080,False,Unknown,0,1000,1.6,Intel Core i5,Intel HD Graphics,794.0
Dell,Gaming,17.3,16,Windows 10,4.42,1920,1080,False,IPS Panel,256,1000,2.8,Intel Core i7,Nvidia GTX,2456.34
Acer,Notebook,15.6,8,Windows 10,2.2,1920,1080,False,Unknown,256,0,2.7,Intel Core i7,Nvidia GeForce,832.0
Dell,Notebook,15.6,16,Windows 10,2.3,1920,1080,True,Unknown,0,1000,2.7,Intel Core i7,AMD,859.01
Asus,Notebook,15.6,8,Windows 10,2.0,1920,1080,False,Unknown,256,0,2.5,Intel Core i5,Nvidia GeForce,769.0
Asus,Notebook,17.3,8,Windows 10,2.69,1920,1080,False,Unknown,256,500,2.5,Intel Core i5,Nvidia GTX,891.0
HP,Notebook,15.6,8,Windows 10,1.9,1920,1080,False,Unknown,0,1000,2.7,Intel Core i7,AMD,1269.0
Asus,Notebook,15.6,4,Windows 10,2.37,1366,768,False,Unknown,0,1000,2.4,Intel Core i3,Intel HD Graphics,398.99
HP,Notebook,15.6,4,Windows 10,2.1,1366,768,False,Unknown,0,500,1.5,AMD,AMD,330.0
Lenovo,Gaming,15.6,16,Windows 10,3.2,1920,1080,False,IPS Panel,256,1000,2.8,Intel Core i7,Nvidia GTX,1499.0
Dell,Notebook,14.0,8,Windows 10,1.6,1920,1080,False,Unknown,256,0,2.5,Intel Core i5,Intel HD Graphics,859.0
Acer,2 in 1 Convertible,13.3,8,Windows 10,1.6,1920,1080,True,IPS Panel,256,0,2.3,Intel Core i5,Intel HD Graphics,689.0
Dell,Notebook,15.6,16,Linux,2.36,1920,1080,False,Unknown,256,0,2.7,Intel Core i7,AMD,899.0
Acer,Notebook,15.6,4,Linux,2.1,1366,768,False,Unknown,0,1000,2.0,Intel Core i3,Intel HD Graphics,390.0
Asus,Notebook,15.6,4,Windows 10,2.2,1920,1080,False,Unknown,128,1000,2.5,AMD,AMD,575.0
Asus,Gaming,17.3,32,Windows 10,4.7,1920,1080,False,Unknown,512,1000,2.9,Intel Core i7,Nvidia GTX,3890.0
Acer,Gaming,15.6,8,Windows 10,2.5,1920,1080,False,IPS Panel,256,0,2.5,Intel Core i5,Nvidia GTX,846.0
Lenovo,Notebook,15.6,8,Windows 10,2.2,1366,768,False,Unknown,128,0,2.0,Intel Core i3,Intel HD Graphics,589.0
Asus,Notebook,17.3,8,Windows 10,2.1,1920,1080,False,Unknown,128,1000,1.8,Intel Core i7,Nvidia GeForce,1145.0
Asus,Notebook,17.3,8,No OS,2.69,1920,1080,False,Unknown,128,1000,2.7,Intel Core i7,Nvidia GTX,889.0
Dell,Gaming,15.6,8,Windows 10,2.56,1920,1080,False,Unknown,256,0,2.5,Intel Core i5,Nvidia GTX,879.0
Lenovo,2 in 1 Convertible,13.9,8,Windows 10,1.38,1920,1080,True,IPS Panel,256,0,2.7,Intel Core i7,Intel HD Graphics,1079.0
Dell,Notebook,15.6,8,Windows 10,2.2,1920,1080,False,Unknown,128,2000,1.8,Intel Core i7,AMD,985.0
HP,Notebook,15.6,8,Windows 10,2.04,1366,768,True,Unknown,0,1000,2.5,Intel Core i5,Intel HD Graphics,559.0
Asus,Gaming,17.3,16,Windows 10,3.6,1920,1080,False,Unknown,256,0,2.9,Intel Core i7,Nvidia GTX,2999.0
HP,Notebook,13.3,4,Windows 10,1.49,1920,1080,False,IPS Panel,0,500,1.6,Intel Core i5,Intel HD Graphics,675.0
Apple,Ultrabook,13.3,8,macOS,1.37,2560,1600,False,IPS Panel Retina Display,512,0,3.1,Intel Core i5,Intel Iris,2040.0
Dell,2 in 1 Convertible,15.6,8,Windows 10,2.08,1920,1080,True,IPS Panel,0,1000,1.8,Intel Core i7,Intel HD Graphics,819.0
Asus,Gaming,17.3,16,Windows 10,4.3,1920,1080,False,Unknown,256,1000,2.8,Intel Core i7,Nvidia GTX,1799.0
Asus,Notebook,15.6,4,Windows 10,1.68,1366,768,False,Unknown,0,1000,3.0,AMD,AMD,469.0
Lenovo,2 in 1 Convertible,13.9,8,Windows 10,1.37,1920,1080,True,IPS Panel,512,0,1.8,Intel Core i7,Intel HD Graphics,1849.0
Acer,Notebook,17.3,4,Windows 10,3.0,1920,1080,False,IPS Panel,256,0,2.7,Intel Core i3,Nvidia GeForce,702.0
Dell,Ultrabook,13.3,8,Windows 10,1.41,1920,1080,False,Unknown,256,0,1.6,Intel Core i5,Intel HD Graphics,949.0
HP,Notebook,15.6,8,Windows 10,1.91,1366,768,False,Unknown,128,0,2.5,AMD,AMD,445.9
HP,Notebook,17.3,16,Windows 10,2.9,1920,1080,False,IPS Panel,0,1000,1.8,Intel Core i7,Nvidia GeForce,1059.0
MSI,Gaming,17.3,16,Windows 10,4.14,1920,1080,False,Unknown,512,1000,2.8,Intel Core i7,Nvidia GTX,2499.0
Lenovo,2 in 1 Convertible,15.6,8,Windows 10,2.0,1920,1080,True,IPS Panel,512,0,2.8,Intel Core i7,Nvidia GTX,1699.0
Dell,Notebook,17.3,8,Windows 10,2.8,1920,1080,False,Unknown,128,1000,1.8,Intel Core i7,AMD,1142.0
Lenovo,Notebook,15.6,4,No OS,2.2,1920,1080,False,Unknown,256,0,2.0,Intel Core i3,Intel HD Graphics,444.0
HP,Notebook,15.6,4,Windows 10,2.1,1920,1080,False,IPS Panel,0,500,1.6,Intel Core i5,Intel HD Graphics,722.0
Dell,Notebook,15.6,4,Windows 10,2.18,1920,1080,False,Unknown,0,1000,2.5,Intel Core i5,Intel HD Graphics,657.0
Dell,Notebook,15.6,8,Windows 10,2.24,1920,1080,False,Unknown,0,1000,2.5,Intel Core i5,AMD,565.0
Dell,2 in 1 Convertible,15.6,8,Windows 10,2.67,1920,1080,True,Unknown,256,0,1.6,Intel Core i5,Intel HD Graphics,799.0
Asus,2 in 1 Convertible,13.3,8,Windows 10,1.1,1920,1080,True,Unknown,512,0,1.8,Intel Core i7,Intel HD Graphics,1499.0
Lenovo,Notebook,15.6,4,No OS,2.2,1920,1080,False,Unknown,0,1000,2.5,Intel Core i5,Intel HD Graphics,467.0
HP,Notebook,17.3,8,Windows 10,2.5,1920,1080,False,Unknown,0,1000,1.8,Intel Core i7,Nvidia GeForce,1018.0
Lenovo,Notebook,15.6,8,Windows 10,2.05,1920,1080,False,Unknown,256,0,1.8,Intel Core i7,Intel HD Graphics,880.0
Apple,Ultrabook,13.3,8,macOS,1.37,2560,1600,False,IPS Panel Retina Display,512,0,2.9,Intel Core i5,Intel Iris,1958.9
Asus,Gaming,17.3,16,Windows 10,3.2,1920,1080,False,Unknown,256,1000,3.0,AMD,AMD,1549.0
Dell,Notebook,15.6,8,Linux,2.14,1920,1080,False,Unknown,256,0,1.8,Intel Core i7,AMD,735.07
Lenovo,2 in 1 Convertible,14.0,16,Windows 10,1.36,2560,1440,True,Unknown,512,0,2.6,Intel Core i7,Intel HD Graphics,2499.0
Toshiba,Notebook,15.6,8,Windows 10,2.2,1366,768,False,Unknown,0,500,2.5,Intel Core i7,Nvidia GeForce,812.0
Dell,Notebook,15.6,12,Windows 10,2.3,1366,768,False,Unknown,0,1000,2.7,Intel Core i7,Intel HD Graphics,713.07
Dell,Notebook,17.3,8,Linux,2.8,1920,1080,False,Unknown,128,1000,1.8,Intel Core i7,AMD,1099.0
Acer,Notebook,15.6,8,Windows 10,2.2,1920,1080,False,IPS Panel,0,1000,1.8,Intel Core i7,Nvidia GeForce,745.0
Lenovo,Notebook,17.3,4,Windows 10,2.8,1600,900,False,Unknown,0,1000,2.0,Intel Core i3,Intel HD Graphics,489.0
Lenovo,Notebook,17.3,8,No OS,2.8,1920,1080,False,Unknown,0,2000,1.8,Intel Core i7,Nvidia GeForce,849.0
Lenovo,Notebook,17.3,6,Windows 10,2.8,1600,900,False,Unknown,128,1000,2.7,Intel Core i7,Nvidia GeForce,859.0
Dell,Notebook,15.6,4,Linux,2.25,1920,1080,False,Unknown,0,1000,2.0,Intel Core i3,AMD,428.0
Lenovo,Gaming,15.6,8,Windows 10,2.5,1920,1080,False,IPS Panel,256,0,2.5,Intel Core i5,Nvidia GTX,829.0
Lenovo,Notebook,15.6,6,Windows 10,2.2,1920,1080,False,Unknown,256,0,2.5,Intel Core i5,Intel HD Graphics,579.0
Acer,Notebook,15.6,8,Windows 10,3.0,1920,1080,False,IPS Panel,256,0,1.8,Intel Core i7,Nvidia GeForce,951.0
Acer,Notebook,15.6,12,Windows 10,2.15,1920,1080,True,IPS Panel,0,1000,2.7,Intel Core i7,Intel HD Graphics,659.0
Lenovo,Notebook,15.6,8,Windows 10,1.95,1920,1080,False,IPS Panel,256,0,2.7,Intel Core i7,Intel HD Graphics,1097.0
Asus,Ultrabook,15.6,8,Windows 10,1.7,1920,1080,False,Unknown,256,0,2.5,Intel Core i5,Nvidia GeForce,977.0
Lenovo,Gaming,15.6,16,Windows 10,2.5,1920,1080,False,IPS Panel,256,1000,2.8,Intel Core i7,Nvidia GTX,1179.0
Lenovo,Notebook,15.6,8,No OS,2.2,1920,1080,False,Unknown,0,1000,2.7,Intel Core i7,Nvidia GeForce,659.01
Acer,Notebook,15.6,2,Chrome OS,2.19,1366,768,False,Unknown,16,0,1.5,Intel Other,Intel HD Graphics,199.0
Asus,Gaming,17.3,8,Windows 10,3.0,1920,1080,False,Unknown,0,1000,2.8,Intel Core i7,Nvidia GTX,1187.0
HP,Notebook,17.3,8,Windows 10,2.54,1600,900,False,Unknown,0,1000,2.0,Intel Core i3,Intel HD Graphics,489.0
Dell,Notebook,15.6,8,Windows 10,2.0,1920,1080,False,Unknown,256,0,2.8,Intel Core i7,Nvidia GTX,1829.0
Lenovo,Notebook,15.6,8,Windows 10,2.05,1920,1080,False,Unknown,256,0,1.6,Intel Core i5,Intel HD Graphics,739.0
Lenovo,Gaming,15.6,8,Windows 10,3.2,1920,1080,False,IPS Panel,0,1000,2.8,Intel Core i7,Nvidia GTX,1299.0
Acer,Notebook,15.6,8,Linux,2.5,1920,1080,False,Unknown,256,0,2.8,Intel Core i7,Nvidia GTX,979.0
Dell,Workstation,17.3,16,Windows 10,3.42,1920,1080,False,Unknown,256,0,2.9,Intel Core i7,Nvidia Quadro,2884.86
Lenovo,Notebook,15.6,6,Windows 10,2.4,1920,1080,False,Unknown,0,1000,2.4,AMD,AMD,499.0
Asus,Ultrabook,15.6,16,Windows 10,1.63,1920,1080,False,Unknown,512,0,2.7,Intel Core i7,Nvidia GeForce,1468.0
Asus,Notebook,14.0,4,Windows 10,1.3,1366,768,False,Unknown,128,0,2.4,Intel Core i3,Intel HD Graphics,509.0
Asus,Gaming,17.3,16,Windows 10,2.9,1920,1080,False,Unknown,256,1000,2.8,Intel Core i7,Nvidia GTX,2122.0
Lenovo,Notebook,17.3,6,Windows 10,2.8,1600,900,False,Unknown,0,1000,2.5,Intel Core i5,Nvidia GTX,649.0
Lenovo,Notebook,15.6,8,No OS,2.2,1366,768,False,Unknown,0,2000,2.5,Intel Core i5,Nvidia GeForce,549.0
Asus,Gaming,15.6,8,Windows 10,2.5,1920,1080,False,Unknown,128,1000,2.8,Intel Core i7,Nvidia GTX,1265.0
Lenovo,Notebook,15.6,4,No OS,2.2,1366,768,False,Unknown,0,1000,1.1,Intel Other,Intel HD Graphics,359.99
HP,2 in 1 Convertible,13.3,16,Windows 10,1.28,1920,1080,True,Unknown,256,0,2.8,Intel Core i7,Intel HD Graphics,1975.0
Toshiba,Notebook,15.6,8,Windows 10,2.2,1920,1080,False,IPS Panel,256,0,2.5,Intel Core i7,Nvidia GeForce,1043.0
Lenovo,Notebook,15.6,8,Windows 10,2.3,1920,1080,False,Unknown,128,1000,2.5,Intel Core i5,Nvidia GeForce,819.0
HP,Notebook,15.6,4,Windows 10,1.86,1920,1080,False,Unknown,0,1000,2.0,Intel Core i3,Intel HD Graphics,469.0
Lenovo,Notebook,13.3,8,Windows 10,1.1,1920,1080,False,IPS Panel,256,0,2.5,Intel Core i5,Intel HD Graphics,999.0
Dell,Ultrabook,13.3,16,Windows 10,1.21,3840,2160,True,IPS Panel,1000,0,1.8,Intel Core i7,Intel HD Graphics,2499.0
MSI,Gaming,15.6,16,Windows 10,2.8,1920,1080,False,IPS Panel,256,1000,2.8,Intel Core i7,Nvidia GTX,2099.0
Acer,Notebook,15.6,8,Windows 10,2.23,1920,1080,False,Unknown,256,0,2.2,AMD,AMD,469.0
Asus,2 in 1 Convertible,11.6,2,Windows 10,1.1,1366,768,True,Unknown,32,0,1.1,Intel Other,Intel HD Graphics,275.0
Dell,Notebook,15.6,8,Windows 10,2.33,1920,1080,False,Unknown,128,1000,1.6,Intel Core i5,AMD,844.0
HP,2 in 1 Convertible,13.3,16,Windows 10,1.29,3840,2160,True,IPS Panel,1000,0,1.8,Intel Core i7,Intel HD Graphics,2449.0
Lenovo,Notebook,13.3,4,Chrome OS,1.45,1366,768,False,Unknown,16,0,1.6,Intel Other,Intel HD Graphics,459.9
HP,Notebook,14.0,8,Windows 10,1.95,1920,1080,False,Unknown,256,0,2.5,Intel Core i5,Intel HD Graphics,980.0
Acer,Notebook,11.6,4,Windows 10,1.4,1366,768,False,Unknown,128,0,1.6,Intel Other,Intel HD Graphics,485.0
HP,Notebook,14.0,8,Windows 10,1.48,1920,1080,False,Unknown,256,0,2.7,Intel Core i7,Intel HD Graphics,1292.0
Lenovo,Notebook,17.3,4,Windows 10,2.79,1600,900,False,Unknown,0,1000,2.5,Intel Core i5,Nvidia GeForce,589.0
Asus,Notebook,14.0,8,Windows 10,2.0,1920,1080,False,Unknown,256,0,2.7,Intel Core i7,Intel HD Graphics,1094.0
HP,Notebook,15.6,8,Windows 10,2.1,1366,768,False,IPS Panel,0,1000,1.8,Intel Core i7,Intel HD Graphics,902.0
Acer,Notebook,15.6,8,Windows 10,2.2,1366,768,False,Unknown,256,0,2.7,AMD,AMD,659.0
Lenovo,Notebook,14.0,4,Windows 10,1.44,1366,768,False,Unknown,32,0,1.1,Intel Other,Intel HD Graphics,292.0
Acer,Notebook,15.6,6,Windows 10,2.23,1366,768,False,Unknown,0,1000,2.5,Intel Core i5,Intel HD Graphics,549.0
Asus,Ultrabook,15.6,8,Windows 10,1.7,1920,1080,False,Unknown,256,0,2.7,Intel Core i7,Nvidia GeForce,1049.9
HP,Ultrabook,12.5,8,Windows 10,1.26,1920,1080,False,Unknown,256,0,2.7,Intel Core i7,Intel HD Graphics,1335.0
Dell,Notebook,15.6,32,Windows 10,2.06,3840,2160,True,Unknown,1000,0,2.8,Intel Core i7,Nvidia GTX,2639.0
MSI,Gaming,17.3,8,Windows 10,2.7,1920,1080,False,Unknown,256,1000,2.8,Intel Core i7,Nvidia GTX,1199.0
Toshiba,Notebook,15.6,8,Windows 10,2.0,1920,1080,False,IPS Panel,256,0,2.5,Intel Core i5,Intel HD Graphics,943.0
Asus,Notebook,14.0,8,Windows 10,2.0,1920,1080,False,Unknown,256,1000,2.7,Intel Core i7,Intel HD Graphics,1334.0
Lenovo,Notebook,15.6,4,Windows 10,1.85,1920,1080,False,Unknown,0,1000,2.0,Intel Core i3,Intel HD Graphics,449.0
Asus,Gaming,15.6,8,Windows 10,2.5,1920,1080,False,Unknown,256,0,2.8,Intel Core i7,Nvidia GTX,999.0
HP,Notebook,14.0,8,Windows 10,1.48,1920,1080,False,Unknown,256,0,2.6,Intel Core i5,Intel HD Graphics,1268.0
Dell,Ultrabook,15.6,8,Windows 10,1.9,1920,1080,False,IPS Panel,128,1000,1.6,Intel Core i5,Nvidia GeForce,1049.0
HP,Notebook,15.6,8,Windows 10,1.84,1920,1080,False,Unknown,256,0,2.5,Intel Core i5,Intel HD Graphics,1144.0
Asus,Notebook,15.6,4,Linux,2.0,1366,768,False,Unknown,0,1000,1.1,Intel Other,Intel HD Graphics,274.99
Dell,Notebook,15.6,8,Windows 10,2.0,1920,1080,False,Unknown,256,0,1.6,Intel Core i5,Nvidia GeForce,1142.75
Dell,Notebook,15.6,4,Linux,2.2,1366,768,False,Unknown,0,500,1.6,Intel Other,Intel HD Graphics,274.9
Lenovo,Notebook,15.6,12,Windows 10,2.2,1920,1080,False,Unknown,0,2000,3.6,AMD,AMD,899.0
HP,Notebook,15.6,8,Windows 10,2.1,1920,1080,False,IPS Panel,0,1000,2.4,Intel Core i3,Nvidia GeForce,716.0
Lenovo,2 in 1 Convertible,13.9,16,Windows 10,1.4,3840,2160,True,IPS Panel,512,0,1.8,Intel Core i7,Intel HD Graphics,2099.0
Dell,Ultrabook,13.3,8,Windows 10,1.2,1920,1080,False,Unknown,256,0,1.8,Intel Core i7,Intel HD Graphics,1579.0
Lenovo,Gaming,15.6,16,Windows 10,2.4,1920,1080,False,IPS Panel,256,2000,2.8,Intel Core i7,Nvidia GTX,1129.0
HP,Notebook,14.0,2,Windows 10,1.44,1366,768,False,Unknown,32,0,1.6,Intel Other,Intel HD Graphics,279.0
Dell,Ultrabook,15.6,16,Windows 10,1.88,1920,1080,False,Unknown,512,0,1.9,Intel Core i7,Intel HD Graphics,1607.96
Asus,2 in 1 Convertible,11.6,4,Windows 10,1.5,1366,768,True,Unknown,32,0,1.1,Intel Other,Intel HD Graphics,375.0
Dell,Ultrabook,15.6,8,Windows 10,1.9,1920,1080,False,Unknown,0,1000,1.6,Intel Core i5,AMD,663.0
Dell,Notebook,15.6,16,Windows 10,2.06,3840,2160,True,Unknown,512,0,2.8,Intel Core i7,Nvidia GTX,2027.42
HP,Notebook,15.6,8,Windows 10,1.84,1920,1080,False,Unknown,256,0,2.7,Intel Core i7,Intel HD Graphics,1304.0
MSI,Gaming,17.3,8,Windows 10,2.7,1920,1080,False,Unknown,128,1000,2.8,Intel Core i7,Nvidia GTX,1409.0
HP,Workstation,15.6,8,Windows 10,2.6,1920,1080,False,Unknown,256,0,2.8,Intel Core i7,Nvidia Quadro,1738.27
Toshiba,Notebook,15.6,16,Windows 10,2.4,1920,1080,False,IPS Panel,512,0,2.5,Intel Core i7,Nvidia GeForce,1403.0
Dell,Notebook,15.6,8,Windows 10,2.02,1920,1080,False,Unknown,128,2000,1.8,Intel Core i7,AMD,970.9
Lenovo,Notebook,15.6,4,No OS,2.2,1366,768,False,Unknown,0,1000,1.1,Intel Other,Intel HD Graphics,321.99
Dell,Gaming,15.6,8,Windows 10,2.65,1920,1080,False,Unknown,0,1000,2.5,Intel Core i5,Nvidia GTX,999.0
Dell,Notebook,15.6,8,Windows 10,2.36,1366,768,True,Unknown,0,2000,2.5,Intel Core i5,Intel HD Graphics,557.37
Dell,Notebook,14.0,8,Windows 10,1.36,1920,1080,False,Unknown,256,0,2.6,Intel Core i5,Intel HD Graphics,1427.0
HP,Notebook,15.6,4,Windows 10,1.86,1366,768,False,Unknown,0,500,2.0,Intel Core i3,Intel HD Graphics,439.0
Asus,Notebook,14.0,8,Windows 10,2.0,1920,1080,False,Unknown,256,0,2.5,Intel Core i5,Intel HD Graphics,945.0
Lenovo,Notebook,17.3,6,Windows 10,2.8,1600,900,False,Unknown,128,1000,2.5,Intel Core i5,Nvidia GTX,719.0
HP,Notebook,15.6,8,Windows 10,1.86,1920,1080,False,Unknown,0,1000,2.5,Intel Core i5,Intel HD Graphics,639.0
Lenovo,Notebook,15.6,8,No OS,2.2,1366,768,False,Unknown,256,0,2.0,Intel Core i3,Nvidia GeForce,499.0
HP,Notebook,15.6,8,Windows 10,2.04,1366,768,False,Unknown,0,2000,1.6,Intel Other,Intel HD Graphics,389.0
Dell,Notebook,17.3,8,Windows 10,2.8,1920,1080,False,Unknown,128,1000,1.6,Intel Core i5,AMD,1085.0
Lenovo,Gaming,15.6,8,No OS,2.4,1920,1080,False,IPS Panel,128,1000,2.5,Intel Core i5,Nvidia GTX,809.0
Dell,Notebook,15.6,8,Windows 10,2.33,1920,1080,False,Unknown,256,0,2.7,Intel Core i7,AMD,899.0
HP,Ultrabook,14.0,8,Windows 10,1.36,1920,1080,False,IPS Panel,256,0,2.7,Intel Core i7,Intel HD Graphics,1750.0
Asus,2 in 1 Convertible,15.6,12,Windows 10,2.26,1920,1080,True,Unknown,512,2000,2.7,Intel Core i7,Nvidia GeForce,1099.0
Acer,Notebook,15.6,4,Windows 10,2.1,1366,768,False,Unknown,128,0,3.0,AMD,AMD,426.0
Asus,Gaming,17.3,16,Windows 10,3.25,1920,1080,False,IPS Panel,256,1000,3.0,AMD,AMD,2199.0
Lenovo,Notebook,17.3,4,Windows 10,2.6,1600,900,False,Unknown,128,0,2.2,AMD,AMD,489.0
Dell,2 in 1 Convertible,13.3,8,Windows 10,1.62,1920,1080,True,Unknown,256,0,1.8,Intel Core i7,Intel HD Graphics,869.01
HP,Notebook,15.6,4,Windows 10,1.91,1920,1080,False,Unknown,256,0,3.0,AMD,AMD,488.99
Lenovo,Netbook,11.6,4,Windows 10,1.59,1366,768,False,IPS Panel,128,0,1.1,Intel Other,Intel HD Graphics,553.0
Dell,Notebook,15.6,4,Windows 10,1.8,1366,768,False,Unknown,0,500,1.6,Intel Other,Intel HD Graphics,309.0
Asus,Notebook,14.0,4,Windows 10,1.5,1366,768,False,Unknown,32,0,1.1,Intel Other,Intel HD Graphics,286.0
Acer,Notebook,15.6,8,Linux,2.4,1920,1080,False,Unknown,0,1000,2.8,Intel Core i7,Nvidia GTX,846.0
HP,Gaming,17.3,8,Windows 10,3.35,1920,1080,False,IPS Panel,128,1000,2.8,Intel Core i7,Nvidia GTX,1191.0
Lenovo,Notebook,15.6,4,No OS,1.85,1920,1080,False,Unknown,128,0,2.0,Intel Core i3,Intel HD Graphics,403.5
Asus,Gaming,15.6,8,Windows 10,2.3,1920,1080,False,IPS Panel,128,1000,2.8,Intel Core i7,Nvidia GTX,1655.0
Lenovo,Notebook,14.0,8,Windows 10,1.5,1920,1080,False,IPS Panel,256,0,2.5,Intel Core i5,Nvidia GeForce,1099.0
Asus,Ultrabook,13.3,16,Windows 10,1.1,1920,1080,True,Unknown,512,0,2.7,Intel Core i7,Intel HD Graphics,1748.9
Lenovo,Ultrabook,14.0,8,Windows 10,1.13,2560,1440,False,IPS Panel,512,0,2.7,Intel Core i7,Intel HD Graphics,2282.0
Lenovo,Notebook,13.3,4,Windows 10,1.5,1920,1080,False,IPS Panel,128,0,2.4,Intel Core i3,Intel HD Graphics,549.0
Dell,Workstation,15.6,8,Windows 10,2.23,1920,1080,False,Unknown,0,500,2.6,Intel Core i5,AMD,1369.0
Dell,Workstation,15.6,8,Windows 10,2.0,1920,1080,False,IPS Panel,256,0,2.7,Intel Core i7,Nvidia Quadro,2135.0
Lenovo,2 in 1 Convertible,14.0,16,Windows 10,1.42,2560,1440,True,Unknown,512,0,2.7,Intel Core i7,Intel HD Graphics,2509.0
Asus,Gaming,17.3,8,Windows 10,3.0,1920,1080,False,Unknown,0,1000,2.8,Intel Core i7,Nvidia GTX,1039.0
Asus,Gaming,17.3,16,Windows 10,3.0,1920,1080,False,Unknown,256,1000,2.8,Intel Core i7,Nvidia GTX,1591.0
Acer,Notebook,15.6,12,Windows 10,2.2,1366,768,False,IPS Panel,0,1000,1.6,Intel Core i5,Nvidia GeForce,693.99
MSI,Gaming,17.3,8,Windows 10,2.7,1920,1080,False,Unknown,256,0,2.8,Intel Core i7,Nvidia GTX,1349.0
Dell,Notebook,15.6,8,Linux,2.33,1920,1080,False,Unknown,256,0,2.7,Intel Core i7,AMD,778.87
HP,Ultrabook,15.6,4,Windows 10,1.91,1920,1080,False,Unknown,256,0,3.0,AMD,AMD,499.0
Lenovo,Notebook,15.6,8,Windows 10,2.1,1920,1080,False,IPS Panel,256,0,1.8,Intel Core i7,AMD,1229.56
Lenovo,Notebook,14.0,8,Windows 10,1.9,1920,1080,False,IPS Panel,256,0,2.5,Intel Core i5,Intel HD Graphics,938.0
Dell,Workstation,15.6,8,Windows 10,1.78,3840,2160,True,Unknown,256,0,2.8,Intel Core i7,Nvidia Quadro,2712.0
Lenovo,Ultrabook,14.0,16,Windows 10,1.13,2560,1440,False,IPS Panel,1000,0,2.7,Intel Core i7,Intel HD Graphics,2625.0
Lenovo,Notebook,15.6,4,Windows 10,2.2,1366,768,False,Unknown,0,1000,1.1,Intel Other,Intel HD Graphics,306.0
Asus,Gaming,17.3,16,Windows 10,2.9,1920,1080,False,Unknown,256,1000,2.8,Intel Core i7,Nvidia GTX,1529.0
Lenovo,Notebook,15.6,8,Windows 10,2.1,1920,1080,False,IPS Panel,256,1000,1.6,Intel Core i5,AMD,1144.5
Acer,Notebook,15.6,8,Linux,2.5,1920,1080,False,Unknown,256,0,2.8,Intel Core i7,Nvidia GTX,879.0
MSI,Gaming,17.3,16,Windows 10,2.8,1920,1080,False,Unknown,256,1000,2.8,Intel Core i7,Nvidia GTX,2249.0
Asus,Ultrabook,14.0,8,Windows 10,1.1,1920,1080,False,Unknown,512,0,2.7,Intel Core i7,Intel HD Graphics,1873.0
